flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2023-12-07,active,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'D', 'gate': '31', 'delay': 13, 'scheduled': '2023-12-07T07:55:00+00:00', 'estimated': '2023-12-07T07:55:00+00:00', 'actual': '2023-12-07T08:08:00+00:00', 'estimated_runway': '2023-12-07T08:08:00+00:00', 'actual_runway': '2023-12-07T08:08:00+00:00'}","{'airport': 'Queenstown', 'timezone': 'Pacific/Auckland', 'iata': 'ZQN', 'icao': 'NZQN', 'terminal': 'D', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-12-07T09:50:00+00:00', 'estimated': '2023-12-07T09:50:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Virgin Atlantic', 'iata': 'VS', 'icao': 'VIR'}","{'number': '7669', 'iata': 'VS7669', 'icao': 'VIR7669', 'codeshared': {'airline_name': 'air new zealand', 'airline_iata': 'nz', 'airline_icao': 'anz', 'flight_number': '613', 'flight_iata': 'nz613', 'flight_icao': 'anz613'}}",,
2023-12-07,active,"{'airport': 'Shenzhen', 'timezone': 'Asia/Shanghai', 'iata': 'SZX', 'icao': 'ZGSZ', 'terminal': None, 'gate': None, 'delay': 38, 'scheduled': '2023-12-07T02:30:00+00:00', 'estimated': '2023-12-07T02:30:00+00:00', 'actual': '2023-12-07T03:07:00+00:00', 'estimated_runway': '2023-12-07T03:07:00+00:00', 'actual_runway': '2023-12-07T03:07:00+00:00'}","{'airport': 'Narita International Airport', 'timezone': 'Asia/Tokyo', 'iata': 'NRT', 'icao': 'RJAA', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-12-07T07:55:00+00:00', 'estimated': '2023-12-07T07:55:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'DHL Air', 'iata': 'D0', 'icao': 'DHK'}","{'number': '752', 'iata': 'D0752', 'icao': 'DHK752', 'codeshared': None}",,
2023-12-07,active,"{'airport': 'Chongqing Jiangbei International', 'timezone': 'Asia/Shanghai', 'iata': 'CKG', 'icao': 'ZUCK', 'terminal': None, 'gate': None, 'delay': 27, 'scheduled': '2023-12-07T02:45:00+00:00', 'estimated': '2023-12-07T02:45:00+00:00', 'actual': '2023-12-07T03:12:00+00:00', 'estimated_runway': '2023-12-07T03:12:00+00:00', 'actual_runway': '2023-12-07T03:12:00+00:00'}","{'airport': 'Shanghai Pudong International', 'timezone': 'Asia/Shanghai', 'iata': 'PVG', 'icao': 'ZSPD', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-12-07T05:20:00+00:00', 'estimated': '2023-12-07T05:20:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Atlas Air', 'iata': '5Y', 'icao': 'GTI'}","{'number': '7521', 'iata': '5Y7521', 'icao': 'GTI7521', 'codeshared': None}",,
2023-12-07,active,"{'airport': 'Wellington International', 'timezone': 'Pacific/Auckland', 'iata': 'WLG', 'icao': 'NZWN', 'terminal': None, 'gate': '22', 'delay': 18, 'scheduled': '2023-12-07T08:15:00+00:00', 'estimated': '2023-12-07T08:15:00+00:00', 'actual': '2023-12-07T08:32:00+00:00', 'estimated_runway': '2023-12-07T08:32:00+00:00', 'actual_runway': '2023-12-07T08:32:00+00:00'}","{'airport': 'Christchurch International', 'timezone': 'Pacific/Auckland', 'iata': 'CHC', 'icao': 'NZCH', 'terminal': 'D', 'gate': 'D21', 'baggage': None, 'delay': 2, 'scheduled': '2023-12-07T09:05:00+00:00', 'estimated': '2023-12-07T09:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Jetstar', 'iata': 'JQ', 'icao': 'JST'}","{'number': '287', 'iata': 'JQ287', 'icao': 'JST287', 'codeshared': None}",,
2023-12-07,active,"{'airport': 'Wellington International', 'timezone': 'Pacific/Auckland', 'iata': 'WLG', 'icao': 'NZWN', 'terminal': None, 'gate': '22', 'delay': 18, 'scheduled': '2023-12-07T08:15:00+00:00', 'estimated': '2023-12-07T08:15:00+00:00', 'actual': '2023-12-07T08:32:00+00:00', 'estimated_runway': '2023-12-07T08:32:00+00:00', 'actual_runway': '2023-12-07T08:32:00+00:00'}","{'airport': 'Christchurch International', 'timezone': 'Pacific/Auckland', 'iata': 'CHC', 'icao': 'NZCH', 'terminal': 'D', 'gate': 'D21', 'baggage': None, 'delay': 2, 'scheduled': '2023-12-07T09:05:00+00:00', 'estimated': '2023-12-07T09:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Fiji Airways', 'iata': 'FJ', 'icao': 'FJI'}","{'number': '5551', 'iata': 'FJ5551', 'icao': 'FJI5551', 'codeshared': {'airline_name': 'jetstar', 'airline_iata': 'jq', 'airline_icao': 'jst', 'flight_number': '287', 'flight_iata': 'jq287', 'flight_icao': 'jst287'}}",,
2023-12-07,active,"{'airport': 'Wellington International', 'timezone': 'Pacific/Auckland', 'iata': 'WLG', 'icao': 'NZWN', 'terminal': None, 'gate': '22', 'delay': 18, 'scheduled': '2023-12-07T08:15:00+00:00', 'estimated': '2023-12-07T08:15:00+00:00', 'actual': '2023-12-07T08:32:00+00:00', 'estimated_runway': '2023-12-07T08:32:00+00:00', 'actual_runway': '2023-12-07T08:32:00+00:00'}","{'airport': 'Christchurch International', 'timezone': 'Pacific/Auckland', 'iata': 'CHC', 'icao': 'NZCH', 'terminal': 'D', 'gate': 'D21', 'baggage': None, 'delay': 2, 'scheduled': '2023-12-07T09:05:00+00:00', 'estimated': '2023-12-07T09:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Qantas', 'iata': 'QF', 'icao': 'QFA'}","{'number': '4996', 'iata': 'QF4996', 'icao': 'QFA4996', 'codeshared': {'airline_name': 'jetstar', 'airline_iata': 'jq', 'airline_icao': 'jst', 'flight_number': '287', 'flight_iata': 'jq287', 'flight_icao': 'jst287'}}",,
2023-12-07,active,"{'airport': 'Christchurch International', 'timezone': 'Pacific/Auckland', 'iata': 'CHC', 'icao': 'NZCH', 'terminal': None, 'gate': 'D8', 'delay': 11, 'scheduled': '2023-12-07T08:45:00+00:00', 'estimated': '2023-12-07T08:45:00+00:00', 'actual': '2023-12-07T08:56:00+00:00', 'estimated_runway': '2023-12-07T08:56:00+00:00', 'actual_runway': '2023-12-07T08:56:00+00:00'}","{'airport': 'Invercargill', 'timezone': 'Pacific/Auckland', 'iata': 'IVC', 'icao': 'NZNV', 'terminal': None, 'gate': '2', 'baggage': None, 'delay': None, 'scheduled': '2023-12-07T10:10:00+00:00', 'estimated': '2023-12-07T10:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '5719', 'iata': 'NZ5719', 'icao': 'ANZ5719', 'codeshared': None}",,
2023-12-07,active,"{'airport': 'Christchurch International', 'timezone': 'Pacific/Auckland', 'iata': 'CHC', 'icao': 'NZCH', 'terminal': None, 'gate': 'D8', 'delay': 11, 'scheduled': '2023-12-07T08:45:00+00:00', 'estimated': '2023-12-07T08:45:00+00:00', 'actual': '2023-12-07T08:56:00+00:00', 'estimated_runway': '2023-12-07T08:56:00+00:00', 'actual_runway': '2023-12-07T08:56:00+00:00'}","{'airport': 'Invercargill', 'timezone': 'Pacific/Auckland', 'iata': 'IVC', 'icao': 'NZNV', 'terminal': None, 'gate': '2', 'baggage': None, 'delay': None, 'scheduled': '2023-12-07T10:10:00+00:00', 'estimated': '2023-12-07T10:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Qantas', 'iata': 'QF', 'icao': 'QFA'}","{'number': '8615', 'iata': 'QF8615', 'icao': 'QFA8615', 'codeshared': {'airline_name': 'air new zealand', 'airline_iata': 'nz', 'airline_icao': 'anz', 'flight_number': '5719', 'flight_iata': 'nz5719', 'flight_icao': 'anz5719'}}",,
2023-12-07,active,"{'airport': 'Christchurch International', 'timezone': 'Pacific/Auckland', 'iata': 'CHC', 'icao': 'NZCH', 'terminal': None, 'gate': 'D6', 'delay': 4, 'scheduled': '2023-12-07T08:25:00+00:00', 'estimated': '2023-12-07T08:25:00+00:00', 'actual': '2023-12-07T08:28:00+00:00', 'estimated_runway': '2023-12-07T08:28:00+00:00', 'actual_runway': '2023-12-07T08:28:00+00:00'}","{'airport': 'Hamilton', 'timezone': 'Pacific/Auckland', 'iata': 'HLZ', 'icao': 'NZHN', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-12-07T10:10:00+00:00', 'estimated': '2023-12-07T10:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '5616', 'iata': 'NZ5616', 'icao': 'ANZ5616', 'codeshared': None}",,
2023-12-07,active,"{'airport': 'Christchurch International', 'timezone': 'Pacific/Auckland', 'iata': 'CHC', 'icao': 'NZCH', 'terminal': None, 'gate': 'D11', 'delay': 9, 'scheduled': '2023-12-07T08:15:00+00:00', 'estimated': '2023-12-07T08:15:00+00:00', 'actual': '2023-12-07T08:24:00+00:00', 'estimated_runway': '2023-12-07T08:24:00+00:00', 'actual_runway': '2023-12-07T08:24:00+00:00'}","{'airport': 'Palmerston North', 'timezone': 'Pacific/Auckland', 'iata': 'PMR', 'icao': 'NZPM', 'terminal': 'D', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2023-12-07T09:35:00+00:00', 'estimated': '2023-12-07T09:35:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '5178', 'iata': 'NZ5178', 'icao': 'ANZ5178', 'codeshared': None}",,
