type,status,departure,arrival,airline,flight,codeshared
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '5', 'gate': '19', 'delay': 26, 'scheduledTime': '2023-07-31t20:00:00.000', 'estimatedTime': '2023-07-31t20:00:00.000', 'actualTime': '2023-07-31t20:25:00.000', 'estimatedRunway': '2023-07-31t20:25:00.000', 'actualRunway': '2023-07-31t20:25:00.000'}","{'iataCode': 'sju', 'icaoCode': 'tjsj', 'terminal': 'a', 'baggage': '3', 'gate': '5', 'scheduledTime': '2023-07-31t23:59:00.000', 'estimatedTime': '2023-07-31t23:44:00.000'}","{'name': 'aer lingus', 'iataCode': 'ei', 'icaoCode': 'ein'}","{'number': '5338', 'iataNumber': 'ei5338', 'icaoNumber': 'ein5338'}","{'airline': {'name': 'jetblue airways', 'iataCode': 'b6', 'icaoCode': 'jbu'}, 'flight': {'number': '703', 'iataNumber': 'b6703', 'icaoNumber': 'jbu703'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '5', 'gate': '19', 'delay': 26, 'scheduledTime': '2023-07-31t20:00:00.000', 'estimatedTime': '2023-07-31t20:00:00.000', 'actualTime': '2023-07-31t20:25:00.000', 'estimatedRunway': '2023-07-31t20:25:00.000', 'actualRunway': '2023-07-31t20:25:00.000'}","{'iataCode': 'sju', 'icaoCode': 'tjsj', 'terminal': 'a', 'baggage': '3', 'gate': '5', 'scheduledTime': '2023-07-31t23:59:00.000', 'estimatedTime': '2023-07-31t23:44:00.000'}","{'name': 'etihad airways', 'iataCode': 'ey', 'icaoCode': 'etd'}","{'number': '8362', 'iataNumber': 'ey8362', 'icaoNumber': 'etd8362'}","{'airline': {'name': 'jetblue airways', 'iataCode': 'b6', 'icaoCode': 'jbu'}, 'flight': {'number': '703', 'iataNumber': 'b6703', 'icaoNumber': 'jbu703'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '5', 'gate': '19', 'delay': 26, 'scheduledTime': '2023-07-31t20:00:00.000', 'estimatedTime': '2023-07-31t20:00:00.000', 'actualTime': '2023-07-31t20:25:00.000', 'estimatedRunway': '2023-07-31t20:25:00.000', 'actualRunway': '2023-07-31t20:25:00.000'}","{'iataCode': 'sju', 'icaoCode': 'tjsj', 'terminal': 'a', 'baggage': '3', 'gate': '5', 'scheduledTime': '2023-07-31t23:59:00.000', 'estimatedTime': '2023-07-31t23:44:00.000'}","{'name': 'qatar airways', 'iataCode': 'qr', 'icaoCode': 'qtr'}","{'number': '3927', 'iataNumber': 'qr3927', 'icaoNumber': 'qtr3927'}","{'airline': {'name': 'jetblue airways', 'iataCode': 'b6', 'icaoCode': 'jbu'}, 'flight': {'number': '703', 'iataNumber': 'b6703', 'icaoNumber': 'jbu703'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '5', 'gate': '19', 'delay': 26, 'scheduledTime': '2023-07-31t20:00:00.000', 'estimatedTime': '2023-07-31t20:00:00.000', 'actualTime': '2023-07-31t20:25:00.000', 'estimatedRunway': '2023-07-31t20:25:00.000', 'actualRunway': '2023-07-31t20:25:00.000'}","{'iataCode': 'sju', 'icaoCode': 'tjsj', 'terminal': 'a', 'baggage': '3', 'gate': '5', 'scheduledTime': '2023-07-31t23:59:00.000', 'estimatedTime': '2023-07-31t23:44:00.000'}","{'name': 'turkish airlines', 'iataCode': 'tk', 'icaoCode': 'thy'}","{'number': '8995', 'iataNumber': 'tk8995', 'icaoNumber': 'thy8995'}","{'airline': {'name': 'jetblue airways', 'iataCode': 'b6', 'icaoCode': 'jbu'}, 'flight': {'number': '703', 'iataNumber': 'b6703', 'icaoNumber': 'jbu703'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '5', 'gate': '19', 'delay': 26, 'scheduledTime': '2023-07-31t20:00:00.000', 'estimatedTime': '2023-07-31t20:00:00.000', 'actualTime': '2023-07-31t20:25:00.000', 'estimatedRunway': '2023-07-31t20:25:00.000', 'actualRunway': '2023-07-31t20:25:00.000'}","{'iataCode': 'sju', 'icaoCode': 'tjsj', 'terminal': 'a', 'baggage': '3', 'gate': '5', 'scheduledTime': '2023-07-31t23:59:00.000', 'estimatedTime': '2023-07-31t23:44:00.000'}","{'name': 'jetblue airways', 'iataCode': 'b6', 'icaoCode': 'jbu'}","{'number': '703', 'iataNumber': 'b6703', 'icaoNumber': 'jbu703'}",
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '5', 'gate': '27', 'delay': 43, 'scheduledTime': '2023-07-31t20:00:00.000', 'estimatedTime': '2023-07-31t20:43:00.000'}","{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '3', 'gate': 'd3', 'scheduledTime': '2023-07-31t22:44:00.000'}","{'name': 'american airlines', 'iataCode': 'aa', 'icaoCode': 'aal'}","{'number': '9346', 'iataNumber': 'aa9346', 'icaoNumber': 'aal9346'}","{'airline': {'name': 'jetblue airways', 'iataCode': 'b6', 'icaoCode': 'jbu'}, 'flight': {'number': '1211', 'iataNumber': 'b61211', 'icaoNumber': 'jbu1211'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '5', 'gate': '27', 'delay': 43, 'scheduledTime': '2023-07-31t20:00:00.000', 'estimatedTime': '2023-07-31t20:43:00.000'}","{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '3', 'gate': 'd3', 'scheduledTime': '2023-07-31t22:44:00.000'}","{'name': 'etihad airways', 'iataCode': 'ey', 'icaoCode': 'etd'}","{'number': '8265', 'iataNumber': 'ey8265', 'icaoNumber': 'etd8265'}","{'airline': {'name': 'jetblue airways', 'iataCode': 'b6', 'icaoCode': 'jbu'}, 'flight': {'number': '1211', 'iataNumber': 'b61211', 'icaoNumber': 'jbu1211'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '5', 'gate': '27', 'delay': 43, 'scheduledTime': '2023-07-31t20:00:00.000', 'estimatedTime': '2023-07-31t20:43:00.000'}","{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '3', 'gate': 'd3', 'scheduledTime': '2023-07-31t22:44:00.000'}","{'name': 'hawaiian airlines', 'iataCode': 'ha', 'icaoCode': 'hal'}","{'number': '2325', 'iataNumber': 'ha2325', 'icaoNumber': 'hal2325'}","{'airline': {'name': 'jetblue airways', 'iataCode': 'b6', 'icaoCode': 'jbu'}, 'flight': {'number': '1211', 'iataNumber': 'b61211', 'icaoNumber': 'jbu1211'}}"
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '5', 'gate': '27', 'delay': 43, 'scheduledTime': '2023-07-31t20:00:00.000', 'estimatedTime': '2023-07-31t20:43:00.000'}","{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '3', 'gate': 'd3', 'scheduledTime': '2023-07-31t22:44:00.000'}","{'name': 'jetblue airways', 'iataCode': 'b6', 'icaoCode': 'jbu'}","{'number': '1211', 'iataNumber': 'b61211', 'icaoNumber': 'jbu1211'}",
departure,active,"{'iataCode': 'jfk', 'icaoCode': 'kjfk', 'terminal': '5', 'gate': '5', 'delay': 30, 'scheduledTime': '2023-07-31t20:00:00.000', 'estimatedTime': '2023-07-31t20:30:00.000'}","{'iataCode': 'rno', 'icaoCode': 'krno', 'gate': 'b6', 'scheduledTime': '2023-07-31t23:09:00.000'}","{'name': 'aer lingus', 'iataCode': 'ei', 'icaoCode': 'ein'}","{'number': '5360', 'iataNumber': 'ei5360', 'icaoNumber': 'ein5360'}","{'airline': {'name': 'jetblue airways', 'iataCode': 'b6', 'icaoCode': 'jbu'}, 'flight': {'number': '2181', 'iataNumber': 'b62181', 'icaoNumber': 'jbu2181'}}"
