type,status,departure,arrival,airline,flight,codeshared
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '3', 'gate': 'd24', 'delay': 140, 'scheduledTime': '2023-07-31t17:00:00.000', 'estimatedTime': '2023-07-31t19:20:00.000'}","{'iataCode': 'yvr', 'icaoCode': 'cyvr', 'terminal': 'i', 'baggage': '25', 'gate': 'd50', 'scheduledTime': '2023-07-31t19:38:00.000'}","{'name': 'air canada', 'iataCode': 'ac', 'icaoCode': 'aca'}","{'number': '1061', 'iataNumber': 'ac1061', 'icaoNumber': 'aca1061'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'b19', 'delay': 129, 'scheduledTime': '2023-07-31t17:00:00.000', 'estimatedTime': '2023-07-31t19:09:00.000'}","{'iataCode': 'sat', 'icaoCode': 'ksat', 'terminal': 'a', 'gate': '16', 'scheduledTime': '2023-07-31t21:40:00.000'}","{'name': 'southwest airlines', 'iataCode': 'wn', 'icaoCode': 'swa'}","{'number': '2926', 'iataNumber': 'wn2926', 'icaoNumber': 'swa2926'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'c14', 'delay': 97, 'scheduledTime': '2023-07-31t17:00:00.000', 'estimatedTime': '2023-07-31t18:37:00.000'}","{'iataCode': 'slc', 'icaoCode': 'kslc', 'gate': 'b20', 'scheduledTime': '2023-07-31t19:25:00.000'}","{'name': 'southwest airlines', 'iataCode': 'wn', 'icaoCode': 'swa'}","{'number': '4909', 'iataNumber': 'wn4909', 'icaoNumber': 'swa4909'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'c25', 'delay': 108, 'scheduledTime': '2023-07-31t17:00:00.000', 'estimatedTime': '2023-07-31t18:48:00.000'}","{'iataCode': 'rno', 'icaoCode': 'krno', 'gate': 'b5', 'scheduledTime': '2023-07-31t18:20:00.000'}","{'name': 'southwest airlines', 'iataCode': 'wn', 'icaoCode': 'swa'}","{'number': '5645', 'iataNumber': 'wn5645', 'icaoNumber': 'swa5645'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'a22', 'delay': 13, 'scheduledTime': '2023-07-31t17:01:00.000', 'estimatedTime': '2023-07-31t17:17:00.000', 'actualTime': '2023-07-31t17:13:00.000', 'estimatedRunway': '2023-07-31t17:13:00.000', 'actualRunway': '2023-07-31t17:13:00.000'}","{'iataCode': 'fsd', 'icaoCode': 'kfsd', 'gate': '1', 'scheduledTime': '2023-07-31t21:43:00.000', 'estimatedTime': '2023-07-31t21:29:00.000'}","{'name': 'allegiant air', 'iataCode': 'g4', 'icaoCode': 'aay'}","{'number': '11', 'iataNumber': 'g411', 'icaoNumber': 'aay11'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'c21', 'delay': 76, 'scheduledTime': '2023-07-31t17:10:00.000', 'estimatedTime': '2023-07-31t18:26:00.000'}","{'iataCode': 'dal', 'icaoCode': 'kdal', 'terminal': '1', 'baggage': '1', 'gate': '9', 'scheduledTime': '2023-07-31t21:55:00.000'}","{'name': 'southwest airlines', 'iataCode': 'wn', 'icaoCode': 'swa'}","{'number': '2312', 'iataNumber': 'wn2312', 'icaoNumber': 'swa2312'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '3', 'gate': 'e8', 'delay': 101, 'scheduledTime': '2023-07-31t17:12:00.000', 'estimatedTime': '2023-07-31t18:53:00.000'}","{'iataCode': 'dfw', 'icaoCode': 'kdfw', 'terminal': 'e', 'baggage': '32', 'gate': 'e10', 'scheduledTime': '2023-07-31t22:07:00.000'}","{'name': 'volaris', 'iataCode': 'y4', 'icaoCode': 'voi'}","{'number': '2243', 'iataNumber': 'y42243', 'icaoNumber': 'voi2243'}","{'airline': {'name': 'frontier airlines', 'iataCode': 'f9', 'icaoCode': 'fft'}, 'flight': {'number': '2136', 'iataNumber': 'f92136', 'icaoNumber': 'fft2136'}}"
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '3', 'gate': 'e8', 'delay': 101, 'scheduledTime': '2023-07-31t17:12:00.000', 'estimatedTime': '2023-07-31t18:53:00.000'}","{'iataCode': 'dfw', 'icaoCode': 'kdfw', 'terminal': 'e', 'baggage': '32', 'gate': 'e10', 'scheduledTime': '2023-07-31t22:07:00.000'}","{'name': 'frontier airlines', 'iataCode': 'f9', 'icaoCode': 'fft'}","{'number': '2136', 'iataNumber': 'f92136', 'icaoNumber': 'fft2136'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'c14', 'delay': 124, 'scheduledTime': '2023-07-31t17:15:00.000', 'estimatedTime': '2023-07-31t19:19:00.000'}","{'iataCode': 'abq', 'icaoCode': 'kabq', 'gate': 'a8', 'scheduledTime': '2023-07-31t19:45:00.000'}","{'name': 'southwest airlines', 'iataCode': 'wn', 'icaoCode': 'swa'}","{'number': '3705', 'iataNumber': 'wn3705', 'icaoNumber': 'swa3705'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'a19', 'delay': 19, 'scheduledTime': '2023-07-31t17:18:00.000', 'estimatedTime': '2023-07-31t17:37:00.000'}","{'iataCode': 'dsm', 'icaoCode': 'kdsm', 'gate': 'c5', 'scheduledTime': '2023-07-31t22:11:00.000'}","{'name': 'allegiant air', 'iataCode': 'g4', 'icaoCode': 'aay'}","{'number': '453', 'iataNumber': 'g4453', 'icaoNumber': 'aay453'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '3', 'gate': 'd52', 'delay': 48, 'scheduledTime': '2023-07-31t17:20:00.000', 'estimatedTime': '2023-07-31t18:08:00.000'}","{'iataCode': 'iah', 'icaoCode': 'kiah', 'terminal': 'e', 'baggage': 'c9', 'gate': '9', 'scheduledTime': '2023-07-31t22:25:00.000'}","{'name': 'united airlines', 'iataCode': 'ua', 'icaoCode': 'ual'}","{'number': '1789', 'iataNumber': 'ua1789', 'icaoNumber': 'ual1789'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'b21', 'delay': 120, 'scheduledTime': '2023-07-31t17:20:00.000', 'estimatedTime': '2023-07-31t19:20:00.000'}","{'iataCode': 'sna', 'icaoCode': 'ksna', 'terminal': 'c', 'baggage': '5', 'gate': '19', 'scheduledTime': '2023-07-31t18:25:00.000'}","{'name': 'southwest airlines', 'iataCode': 'wn', 'icaoCode': 'swa'}","{'number': '1259', 'iataNumber': 'wn1259', 'icaoNumber': 'swa1259'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'c23', 'delay': 128, 'scheduledTime': '2023-07-31t17:20:00.000', 'estimatedTime': '2023-07-31t19:28:00.000'}","{'iataCode': 'bur', 'icaoCode': 'kbur', 'terminal': 'a', 'gate': '2', 'scheduledTime': '2023-07-31t18:25:00.000'}","{'name': 'southwest airlines', 'iataCode': 'wn', 'icaoCode': 'swa'}","{'number': '1601', 'iataNumber': 'wn1601', 'icaoNumber': 'swa1601'}",
departure,cancelled,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '1', 'gate': 'a10', 'scheduledTime': '2023-07-31t17:25:00.000'}","{'iataCode': 'slc', 'icaoCode': 'kslc', 'gate': 'b15', 'scheduledTime': '2023-07-31t19:51:00.000'}","{'name': 'spirit airlines', 'iataCode': 'nk', 'icaoCode': 'nks'}","{'number': '423', 'iataNumber': 'nk423', 'icaoNumber': 'nks423'}",
departure,active,"{'iataCode': 'las', 'icaoCode': 'klas', 'terminal': '3', 'gate': 'd51', 'delay': 80, 'scheduledTime': '2023-07-31t17:25:00.000', 'estimatedTime': '2023-07-31t18:45:00.000'}","{'iataCode': 'msp', 'icaoCode': 'kmsp', 'terminal': '2', 'gate': 'h4', 'scheduledTime': '2023-07-31t22:28:00.000'}","{'name': 'sun country airlines', 'iataCode': 'sy', 'icaoCode': 'scx'}","{'number': '108', 'iataNumber': 'sy108', 'icaoNumber': 'scx108'}",
