type,status,departure,arrival,airline,flight,codeshared
departure,active,"{'iataCode': 'lhr', 'icaoCode': 'egll', 'terminal': '2', 'gate': 'b37', 'delay': 16, 'scheduledTime': '2023-03-01t06:00:00.000', 'estimatedTime': '2023-03-01t06:00:00.000', 'actualTime': '2023-03-01t06:15:00.000', 'estimatedRunway': '2023-03-01t06:15:00.000', 'actualRunway': '2023-03-01t06:15:00.000'}","{'iataCode': 'zrh', 'icaoCode': 'lszh', 'terminal': '2', 'scheduledTime': '2023-03-01t08:40:00.000', 'estimatedTime': '2023-03-01t08:30:00.000'}","{'name': 'swiss', 'iataCode': 'lx', 'icaoCode': 'swr'}","{'number': '345', 'iataNumber': 'lx345', 'icaoNumber': 'swr345'}",
departure,active,"{'iataCode': 'lhr', 'icaoCode': 'egll', 'terminal': '2', 'gate': 'b33', 'delay': 30, 'scheduledTime': '2023-03-01t06:00:00.000', 'estimatedTime': '2023-03-01t06:12:00.000', 'actualTime': '2023-03-01t06:30:00.000', 'estimatedRunway': '2023-03-01t06:30:00.000', 'actualRunway': '2023-03-01t06:30:00.000'}","{'iataCode': 'vie', 'icaoCode': 'loww', 'terminal': '3', 'delay': 2, 'scheduledTime': '2023-03-01t09:15:00.000', 'estimatedTime': '2023-03-01t09:17:00.000'}","{'name': 'air canada', 'iataCode': 'ac', 'icaoCode': 'aca'}","{'number': '6186', 'iataNumber': 'ac6186', 'icaoNumber': 'aca6186'}","{'airline': {'name': 'austrian', 'iataCode': 'os', 'icaoCode': 'aua'}, 'flight': {'number': '458', 'iataNumber': 'os458', 'icaoNumber': 'aua458'}}"
departure,active,"{'iataCode': 'lhr', 'icaoCode': 'egll', 'terminal': '2', 'gate': 'b33', 'delay': 30, 'scheduledTime': '2023-03-01t06:00:00.000', 'estimatedTime': '2023-03-01t06:12:00.000', 'actualTime': '2023-03-01t06:30:00.000', 'estimatedRunway': '2023-03-01t06:30:00.000', 'actualRunway': '2023-03-01t06:30:00.000'}","{'iataCode': 'vie', 'icaoCode': 'loww', 'terminal': '3', 'delay': 2, 'scheduledTime': '2023-03-01t09:15:00.000', 'estimatedTime': '2023-03-01t09:17:00.000'}","{'name': 'austrian', 'iataCode': 'os', 'icaoCode': 'aua'}","{'number': '458', 'iataNumber': 'os458', 'icaoNumber': 'aua458'}",
departure,active,"{'iataCode': 'lhr', 'icaoCode': 'egll', 'terminal': '3', 'gate': '28', 'delay': 20, 'scheduledTime': '2023-03-01t06:20:00.000', 'estimatedTime': '2023-03-01t06:46:00.000', 'actualTime': '2023-03-01t06:39:00.000', 'estimatedRunway': '2023-03-01t06:39:00.000', 'actualRunway': '2023-03-01t06:39:00.000'}","{'iataCode': 'cdg', 'icaoCode': 'lfpg', 'terminal': '2e', 'baggage': '31', 'scheduledTime': '2023-03-01t08:40:00.000', 'estimatedTime': '2023-03-01t08:25:00.000'}","{'name': 'aeromexico', 'iataCode': 'am', 'icaoCode': 'amx'}","{'number': '6021', 'iataNumber': 'am6021', 'icaoNumber': 'amx6021'}","{'airline': {'name': 'air france', 'iataCode': 'af', 'icaoCode': 'afr'}, 'flight': {'number': '1381', 'iataNumber': 'af1381', 'icaoNumber': 'afr1381'}}"
departure,active,"{'iataCode': 'lhr', 'icaoCode': 'egll', 'terminal': '3', 'gate': '28', 'delay': 20, 'scheduledTime': '2023-03-01t06:20:00.000', 'estimatedTime': '2023-03-01t06:46:00.000', 'actualTime': '2023-03-01t06:39:00.000', 'estimatedRunway': '2023-03-01t06:39:00.000', 'actualRunway': '2023-03-01t06:39:00.000'}","{'iataCode': 'cdg', 'icaoCode': 'lfpg', 'terminal': '2e', 'baggage': '31', 'scheduledTime': '2023-03-01t08:40:00.000', 'estimatedTime': '2023-03-01t08:25:00.000'}","{'name': 'delta air lines', 'iataCode': 'dl', 'icaoCode': 'dal'}","{'number': '8619', 'iataNumber': 'dl8619', 'icaoNumber': 'dal8619'}","{'airline': {'name': 'air france', 'iataCode': 'af', 'icaoCode': 'afr'}, 'flight': {'number': '1381', 'iataNumber': 'af1381', 'icaoNumber': 'afr1381'}}"
departure,active,"{'iataCode': 'lhr', 'icaoCode': 'egll', 'terminal': '3', 'gate': '28', 'delay': 20, 'scheduledTime': '2023-03-01t06:20:00.000', 'estimatedTime': '2023-03-01t06:46:00.000', 'actualTime': '2023-03-01t06:39:00.000', 'estimatedRunway': '2023-03-01t06:39:00.000', 'actualRunway': '2023-03-01t06:39:00.000'}","{'iataCode': 'cdg', 'icaoCode': 'lfpg', 'terminal': '2e', 'baggage': '31', 'scheduledTime': '2023-03-01t08:40:00.000', 'estimatedTime': '2023-03-01t08:25:00.000'}","{'name': 'gol', 'iataCode': 'g3', 'icaoCode': 'glo'}","{'number': '5113', 'iataNumber': 'g35113', 'icaoNumber': 'glo5113'}","{'airline': {'name': 'air france', 'iataCode': 'af', 'icaoCode': 'afr'}, 'flight': {'number': '1381', 'iataNumber': 'af1381', 'icaoNumber': 'afr1381'}}"
departure,active,"{'iataCode': 'lhr', 'icaoCode': 'egll', 'terminal': '3', 'gate': '28', 'delay': 20, 'scheduledTime': '2023-03-01t06:20:00.000', 'estimatedTime': '2023-03-01t06:46:00.000', 'actualTime': '2023-03-01t06:39:00.000', 'estimatedRunway': '2023-03-01t06:39:00.000', 'actualRunway': '2023-03-01t06:39:00.000'}","{'iataCode': 'cdg', 'icaoCode': 'lfpg', 'terminal': '2e', 'baggage': '31', 'scheduledTime': '2023-03-01t08:40:00.000', 'estimatedTime': '2023-03-01t08:25:00.000'}","{'name': 'kenya airways', 'iataCode': 'kq', 'icaoCode': 'kqa'}","{'number': '3059', 'iataNumber': 'kq3059', 'icaoNumber': 'kqa3059'}","{'airline': {'name': 'air france', 'iataCode': 'af', 'icaoCode': 'afr'}, 'flight': {'number': '1381', 'iataNumber': 'af1381', 'icaoNumber': 'afr1381'}}"
departure,active,"{'iataCode': 'lhr', 'icaoCode': 'egll', 'terminal': '3', 'gate': '28', 'delay': 20, 'scheduledTime': '2023-03-01t06:20:00.000', 'estimatedTime': '2023-03-01t06:46:00.000', 'actualTime': '2023-03-01t06:39:00.000', 'estimatedRunway': '2023-03-01t06:39:00.000', 'actualRunway': '2023-03-01t06:39:00.000'}","{'iataCode': 'cdg', 'icaoCode': 'lfpg', 'terminal': '2e', 'baggage': '31', 'scheduledTime': '2023-03-01t08:40:00.000', 'estimatedTime': '2023-03-01t08:25:00.000'}","{'name': 'air mauritius', 'iataCode': 'mk', 'icaoCode': 'mau'}","{'number': '9413', 'iataNumber': 'mk9413', 'icaoNumber': 'mau9413'}","{'airline': {'name': 'air france', 'iataCode': 'af', 'icaoCode': 'afr'}, 'flight': {'number': '1381', 'iataNumber': 'af1381', 'icaoNumber': 'afr1381'}}"
departure,active,"{'iataCode': 'lhr', 'icaoCode': 'egll', 'terminal': '3', 'gate': '28', 'delay': 20, 'scheduledTime': '2023-03-01t06:20:00.000', 'estimatedTime': '2023-03-01t06:46:00.000', 'actualTime': '2023-03-01t06:39:00.000', 'estimatedRunway': '2023-03-01t06:39:00.000', 'actualRunway': '2023-03-01t06:39:00.000'}","{'iataCode': 'cdg', 'icaoCode': 'lfpg', 'terminal': '2e', 'baggage': '31', 'scheduledTime': '2023-03-01t08:40:00.000', 'estimatedTime': '2023-03-01t08:25:00.000'}","{'name': 'virgin atlantic', 'iataCode': 'vs', 'icaoCode': 'vir'}","{'number': '6714', 'iataNumber': 'vs6714', 'icaoNumber': 'vir6714'}","{'airline': {'name': 'air france', 'iataCode': 'af', 'icaoCode': 'afr'}, 'flight': {'number': '1381', 'iataNumber': 'af1381', 'icaoNumber': 'afr1381'}}"
departure,active,"{'iataCode': 'lhr', 'icaoCode': 'egll', 'terminal': '3', 'gate': '28', 'delay': 20, 'scheduledTime': '2023-03-01t06:20:00.000', 'estimatedTime': '2023-03-01t06:46:00.000', 'actualTime': '2023-03-01t06:39:00.000', 'estimatedRunway': '2023-03-01t06:39:00.000', 'actualRunway': '2023-03-01t06:39:00.000'}","{'iataCode': 'cdg', 'icaoCode': 'lfpg', 'terminal': '2e', 'baggage': '31', 'scheduledTime': '2023-03-01t08:40:00.000', 'estimatedTime': '2023-03-01t08:25:00.000'}","{'name': 'air france', 'iataCode': 'af', 'icaoCode': 'afr'}","{'number': '1381', 'iataNumber': 'af1381', 'icaoNumber': 'afr1381'}",
