type,status,departure,arrival,airline,flight,codeshared
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'delay': 37, 'scheduledTime': '2023-05-11t08:00:00.000', 'estimatedTime': '2023-05-11t08:40:00.000', 'actualTime': '2023-05-11t08:37:00.000', 'estimatedRunway': '2023-05-11t08:37:00.000', 'actualRunway': '2023-05-11t08:37:00.000'}","{'iataCode': 'can', 'icaoCode': 'zggg', 'terminal': '1', 'delay': 4, 'scheduledTime': '2023-05-11t11:25:00.000', 'estimatedTime': '2023-05-11t11:29:00.000'}","{'name': 'shenzhen airlines', 'iataCode': 'zh', 'icaoCode': 'csz'}","{'number': '1351', 'iataNumber': 'zh1351', 'icaoNumber': 'csz1351'}","{'airline': {'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}, 'flight': {'number': '1351', 'iataNumber': 'ca1351', 'icaoNumber': 'cca1351'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'delay': 37, 'scheduledTime': '2023-05-11t08:00:00.000', 'estimatedTime': '2023-05-11t08:40:00.000', 'actualTime': '2023-05-11t08:37:00.000', 'estimatedRunway': '2023-05-11t08:37:00.000', 'actualRunway': '2023-05-11t08:37:00.000'}","{'iataCode': 'can', 'icaoCode': 'zggg', 'terminal': '1', 'delay': 4, 'scheduledTime': '2023-05-11t11:25:00.000', 'estimatedTime': '2023-05-11t11:29:00.000'}","{'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}","{'number': '1351', 'iataNumber': 'ca1351', 'icaoNumber': 'cca1351'}",
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'delay': 16, 'scheduledTime': '2023-05-11t08:00:00.000', 'estimatedTime': '2023-05-11t08:11:00.000', 'actualTime': '2023-05-11t08:16:00.000', 'estimatedRunway': '2023-05-11t08:16:00.000', 'actualRunway': '2023-05-11t08:16:00.000'}","{'iataCode': 'tfu', 'icaoCode': 'zutf', 'terminal': 't2', 'scheduledTime': '2023-05-11t11:15:00.000', 'estimatedTime': '2023-05-11t10:54:00.000'}","{'name': 'shenzhen airlines', 'iataCode': 'zh', 'icaoCode': 'csz'}","{'number': '1417', 'iataNumber': 'zh1417', 'icaoNumber': 'csz1417'}","{'airline': {'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}, 'flight': {'number': '1417', 'iataNumber': 'ca1417', 'icaoNumber': 'cca1417'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'delay': 16, 'scheduledTime': '2023-05-11t08:00:00.000', 'estimatedTime': '2023-05-11t08:11:00.000', 'actualTime': '2023-05-11t08:16:00.000', 'estimatedRunway': '2023-05-11t08:16:00.000', 'actualRunway': '2023-05-11t08:16:00.000'}","{'iataCode': 'tfu', 'icaoCode': 'zutf', 'terminal': 't2', 'scheduledTime': '2023-05-11t11:15:00.000', 'estimatedTime': '2023-05-11t10:54:00.000'}","{'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}","{'number': '1417', 'iataNumber': 'ca1417', 'icaoNumber': 'cca1417'}",
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'delay': 20, 'scheduledTime': '2023-05-11t08:00:00.000', 'estimatedTime': '2023-05-11t08:13:00.000', 'actualTime': '2023-05-11t08:19:00.000', 'estimatedRunway': '2023-05-11t08:19:00.000', 'actualRunway': '2023-05-11t08:19:00.000'}","{'iataCode': 'ckg', 'icaoCode': 'zuck', 'terminal': '3', 'scheduledTime': '2023-05-11t10:55:00.000', 'estimatedTime': '2023-05-11t10:42:00.000'}","{'name': 'shandong airlines', 'iataCode': 'sc', 'icaoCode': 'cdg'}","{'number': '5031', 'iataNumber': 'sc5031', 'icaoNumber': 'cdg5031'}","{'airline': {'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}, 'flight': {'number': '1431', 'iataNumber': 'ca1431', 'icaoNumber': 'cca1431'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'delay': 20, 'scheduledTime': '2023-05-11t08:00:00.000', 'estimatedTime': '2023-05-11t08:13:00.000', 'actualTime': '2023-05-11t08:19:00.000', 'estimatedRunway': '2023-05-11t08:19:00.000', 'actualRunway': '2023-05-11t08:19:00.000'}","{'iataCode': 'ckg', 'icaoCode': 'zuck', 'terminal': '3', 'scheduledTime': '2023-05-11t10:55:00.000', 'estimatedTime': '2023-05-11t10:42:00.000'}","{'name': 'shenzhen airlines', 'iataCode': 'zh', 'icaoCode': 'csz'}","{'number': '1431', 'iataNumber': 'zh1431', 'icaoNumber': 'csz1431'}","{'airline': {'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}, 'flight': {'number': '1431', 'iataNumber': 'ca1431', 'icaoNumber': 'cca1431'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'delay': 20, 'scheduledTime': '2023-05-11t08:00:00.000', 'estimatedTime': '2023-05-11t08:13:00.000', 'actualTime': '2023-05-11t08:19:00.000', 'estimatedRunway': '2023-05-11t08:19:00.000', 'actualRunway': '2023-05-11t08:19:00.000'}","{'iataCode': 'ckg', 'icaoCode': 'zuck', 'terminal': '3', 'scheduledTime': '2023-05-11t10:55:00.000', 'estimatedTime': '2023-05-11t10:42:00.000'}","{'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}","{'number': '1431', 'iataNumber': 'ca1431', 'icaoNumber': 'cca1431'}",
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'scheduledTime': '2023-05-11t08:00:00.000', 'estimatedTime': '2023-05-11t08:05:00.000', 'actualTime': '2023-05-11t07:56:00.000', 'estimatedRunway': '2023-05-11t07:56:00.000', 'actualRunway': '2023-05-11t07:56:00.000'}","{'iataCode': 'pvg', 'icaoCode': 'zspd', 'terminal': '2', 'baggage': '38', 'scheduledTime': '2023-05-11t10:15:00.000', 'estimatedTime': '2023-05-11t09:36:00.000'}","{'name': 'air new zealand', 'iataCode': 'nz', 'icaoCode': 'anz'}","{'number': '3819', 'iataNumber': 'nz3819', 'icaoNumber': 'anz3819'}","{'airline': {'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}, 'flight': {'number': '1835', 'iataNumber': 'ca1835', 'icaoNumber': 'cca1835'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'scheduledTime': '2023-05-11t08:00:00.000', 'estimatedTime': '2023-05-11t08:05:00.000', 'actualTime': '2023-05-11t07:56:00.000', 'estimatedRunway': '2023-05-11t07:56:00.000', 'actualRunway': '2023-05-11t07:56:00.000'}","{'iataCode': 'pvg', 'icaoCode': 'zspd', 'terminal': '2', 'baggage': '38', 'scheduledTime': '2023-05-11t10:15:00.000', 'estimatedTime': '2023-05-11t09:36:00.000'}","{'name': 'united airlines', 'iataCode': 'ua', 'icaoCode': 'ual'}","{'number': '7570', 'iataNumber': 'ua7570', 'icaoNumber': 'ual7570'}","{'airline': {'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}, 'flight': {'number': '1835', 'iataNumber': 'ca1835', 'icaoNumber': 'cca1835'}}"
departure,active,"{'iataCode': 'pek', 'icaoCode': 'zbaa', 'terminal': '3', 'scheduledTime': '2023-05-11t08:00:00.000', 'estimatedTime': '2023-05-11t08:05:00.000', 'actualTime': '2023-05-11t07:56:00.000', 'estimatedRunway': '2023-05-11t07:56:00.000', 'actualRunway': '2023-05-11t07:56:00.000'}","{'iataCode': 'pvg', 'icaoCode': 'zspd', 'terminal': '2', 'baggage': '38', 'scheduledTime': '2023-05-11t10:15:00.000', 'estimatedTime': '2023-05-11t09:36:00.000'}","{'name': 'shenzhen airlines', 'iataCode': 'zh', 'icaoCode': 'csz'}","{'number': '1835', 'iataNumber': 'zh1835', 'icaoNumber': 'csz1835'}","{'airline': {'name': 'air china ltd', 'iataCode': 'ca', 'icaoCode': 'cca'}, 'flight': {'number': '1835', 'iataNumber': 'ca1835', 'icaoNumber': 'cca1835'}}"
