departure airport IATA,arrival airport IATA,delay in mins,estimatedDelay,Airline Company,month_day
'iataCode': 'atl,'iataCode': 'rsw, 'delay': 12,12.0,'name': 'delta air lines,09-01
'iataCode': 'atl,'iataCode': 'sat, 'delay': 12,-1.0,'name': 'alitalia,08-31
'iataCode': 'atl,'iataCode': 'sat, 'delay': 12,-1.0,'name': 'klm,08-31
'iataCode': 'atl,'iataCode': 'sat, 'delay': 12,-1.0,'name': 'latam airlines,08-31
'iataCode': 'atl,'iataCode': 'sat, 'delay': 12,-1.0,'name': 'virgin atlantic,08-31
'iataCode': 'atl,'iataCode': 'sat, 'delay': 12,-1.0,'name': 'westjet,08-31
'iataCode': 'atl,'iataCode': 'sat, 'delay': 12,-1.0,'name': 'delta air lines,08-31
'iataCode': 'atl,'iataCode': 'hpn, 'delay': 15,0.0,'name': 'aeromexico,08-31
'iataCode': 'atl,'iataCode': 'hpn, 'delay': 15,0.0,'name': 'virgin atlantic,08-31
'iataCode': 'atl,'iataCode': 'hpn, 'delay': 15,0.0,'name': 'delta air lines,08-31
'iataCode': 'atl,'iataCode': 'ind, 'delay': 27,11.0,'name': 'delta air lines,08-31
'iataCode': 'atl,'iataCode': 'cdg,,65.0,'name': 'air france,08-31
'iataCode': 'atl,'iataCode': 'dub, 'delay': 163,163.0,'name': 'delta air lines,08-31
'iataCode': 'atl,'iataCode': 'pbi, 'delay': 19,-1.0,'name': 'delta air lines,08-31
'iataCode': 'atl,'iataCode': 'sfo, 'delay': 10,0.0,'name': 'air france,08-31
'iataCode': 'atl,'iataCode': 'sfo, 'delay': 10,0.0,'name': 'aeromexico,08-31
'iataCode': 'atl,'iataCode': 'sfo, 'delay': 10,0.0,'name': 'korean air,08-31
'iataCode': 'atl,'iataCode': 'sfo, 'delay': 10,0.0,'name': 'klm,08-31
'iataCode': 'atl,'iataCode': 'sfo, 'delay': 10,0.0,'name': 'latam airlines,08-31
'iataCode': 'atl,'iataCode': 'sfo, 'delay': 10,0.0,'name': 'virgin atlantic,08-31
'iataCode': 'atl,'iataCode': 'sfo, 'delay': 10,0.0,'name': 'delta air lines,08-31
