departure,arrival
'airport': 'Oenpelli,'airport': 'Maningrida
'airport': 'Sydney Bankstown,'airport': 'Williamtown
'airport': 'Haneda Airport,'airport': 'Hong Kong International
'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International),'airport': 'Singapore Changi
'airport': 'Ninoy Aquino International,'airport': 'Malay
'airport': 'Ninoy Aquino International,'airport': 'Malay
'airport': 'Christchurch International,'airport': 'Dunedin International
'airport': 'Christchurch International,'airport': 'Dunedin International
'airport': 'Frankfurt International Airport,'airport': 'Sur Reina Sofia
'airport': 'Frankfurt International Airport,'airport': 'Hurghada
'airport': 'Jomo Kenyatta International,'airport': 'Ukunda
'airport': 'Jomo Kenyatta International,'airport': 'Ukunda
'airport': 'Guiyang,'airport': 'Qingyang
'airport': 'Guiyang,'airport': 'Qingyang
"'airport': 'Athens International Airport ""Eleftherios Venizelos""",'airport': 'Arlanda
"'airport': 'Athens International Airport ""Eleftherios Venizelos""",'airport': 'Edinburgh
'airport': 'Liege Airport,'airport': 'Erkilet International Airport
'airport': 'Lisbon Portela,'airport': 'Ciampino
'airport': 'Kunming,'airport': Non
'airport': 'Shanghai Pudong International,'airport': 'Heydar Aliyev International (Bina International)
'airport': 'Linate,'airport': 'Ciampino
'airport': 'Koltsovo International,'airport': 'Ufa International Airport
'airport': 'Sheremetyevo International,'airport': 'Istanbul Airport
'airport': 'Sheremetyevo International,'airport': 'Ufa International Airport
'airport': 'Frederic Chopin,'airport': 'Sur Reina Sofia
'airport': 'Frederic Chopin,'airport': 'Dubai
'airport': 'Aksu,'airport': 'Lanzhou Zhongchuan Airport
'airport': 'Changsha,'airport': 'Wanxian
'airport': 'Changsha,'airport': 'Wanxian
'airport': 'Tianjin Binhai International,'airport': 'Juzhou
'airport': 'Berlin Brandenburg Airport,'airport': 'Fuerteventura
'airport': 'Kunming,'airport': 'Hengyang
'airport': 'Lester B. Pearson International,'airport': 'Internacional Benito Juarez
'airport': 'Lester B. Pearson International,'airport': 'Internacional Benito Juarez
'airport': 'Lester B. Pearson International,'airport': 'Internacional Benito Juarez
'airport': 'Manchester Airport,'airport': 'La Palma
'airport': 'Aeroporto Internacional Guarulhos,'airport': 'Tocumen International
'airport': 'Turany,'airport': 'Zaragoza
'airport': 'Bangalore International Airport,'airport': 'Vishakhapatnam
'airport': 'Novy Urengoy,'airport': 'Omsk
'airport': 'Tianhe International,'airport': 'Dali
'airport': 'Tianhe International,'airport': 'Urumqi
'airport': 'Gardermoen,'airport': 'Gran Canaria
'airport': 'Kansai International,'airport': 'Noibai International
'airport': 'Kansai International,'airport': 'Noibai International
'airport': 'Kansai International,'airport': 'Noibai International
'airport': 'Kansai International,'airport': 'Noibai International
'airport': 'Kansai International,'airport': 'Noibai International
'airport': 'Kansai International,'airport': 'Hong Kong International
'airport': 'Melbourne - Tullamarine Airport,'airport': 'Ngurah Rai International
'airport': 'Ngurah Rai International,'airport': 'Brisbane International
'airport': 'Ngurah Rai International,'airport': 'Brisbane International
'airport': 'Ngurah Rai International,'airport': 'Brisbane International
'airport': 'Hangzhou,'airport': 'Weihai
'airport': 'Henri Coanda International,'airport': 'International Airport Chisinau
'airport': 'Henri Coanda International,'airport': 'International Airport Chisinau
'airport': 'Yun Cheng,'airport': 'Dalian
'airport': 'Shanghai,'airport': 'Urumqi
'airport': 'Shanghai,'airport': 'Urumqi
'airport': 'Shanghai,'airport': 'Urumqi
'airport': 'Shanghai,'airport': 'Weihai
'airport': 'Shanghai,'airport': 'Weihai
'airport': 'Hohhot,'airport': 'Xilinhot
'airport': 'Salekhard,'airport': 'Roschino
'airport': 'Helsinki-vantaa,'airport': 'Gran Canaria
'airport': 'Xiamen,'airport': 'Hengyang
'airport': 'Xiamen,'airport': 'Hengyang
'airport': 'Xiamen,'airport': 'Hengyang
'airport': 'Xiamen,'airport': 'Hengyang
'airport': 'Ruoqiang Loulan Airport\xa0,'airport': 'Qiemo
'airport': 'Ruoqiang Loulan Airport\xa0,'airport': 'Qiemo
'airport': 'Ruoqiang Loulan Airport\xa0,'airport': 'Qiemo
'airport': 'Ruoqiang Loulan Airport\xa0,'airport': 'Qiemo
'airport': 'Ruoqiang Loulan Airport\xa0,'airport': 'Qiemo
'airport': 'Sir Seewoosagur Ramgoolam International,'airport': 'Rodrigues Island
'airport': 'Gen Mariano Escobedo,'airport': 'Tocumen International
'airport': 'Tan Son Nhat International,'airport': 'Seoul (Incheon)
'airport': 'Tan Son Nhat International,'airport': 'Duong Dong
'airport': 'Tan Son Nhat International,'airport': 'Shanghai Pudong International
'airport': 'Alexander The Great Airport,'airport': 'Memmingen-Allgäu
'airport': 'Chongqing Jiangbei International,'airport': 'Dongsheng
'airport': 'Chongqing Jiangbei International,'airport': 'Korla
'airport': 'Chongqing Jiangbei International,'airport': 'Xinzhou Wutaishan Airport\r\n
'airport': 'Fuzhou,'airport': 'Yinchuan
'airport': 'Halle,'airport': 'Bahrain International
'airport': 'Singapore Changi,'airport': 'Dubai
'airport': 'Singapore Changi,'airport': 'Taiwan Taoyuan International (Chiang Kai Shek International)
'airport': 'Singapore Changi,'airport': 'Seoul (Incheon)
'airport': 'Singapore Changi,'airport': 'Seoul (Incheon)
'airport': 'Jorge Chavez International,'airport': 'George Bush Intercontinental
'airport': 'Jorge Chavez International,'airport': 'George Bush Intercontinental
'airport': 'Jorge Chavez International,'airport': 'Internacional Benito Juarez
'airport': 'Jorge Chavez International,'airport': 'Internacional Benito Juarez
'airport': 'Abu Dhabi International,'airport': 'Suvarnabhumi International
'airport': 'Lanzhou Zhongchuan Airport,'airport': 'Jiayuguan
'airport': 'Bandaranaike International,'airport': 'Vnukovo
'airport': 'Imperatriz,'airport': 'Marechal Cunha Machado
