departure region,arrival region
'Australia/Darwin','Australia/Darwin'
'Australia/Sydney','Australia/Sydney'
'Asia/Tokyo','Asia/Hong_Kong'
'Asia/Taipei','Asia/Singapore'
'Asia/Manila','Asia/Manila'
'Asia/Manila','Asia/Manila'
'Pacific/Auckland','Pacific/Auckland'
'Pacific/Auckland','Pacific/Auckland'
'Europe/Berlin','Atlantic/Canary'
'Europe/Berlin','Africa/Cairo'
'Africa/Nairobi','Africa/Nairobi'
'Africa/Nairobi','Africa/Nairobi'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Europe/Athens','Europe/Stockholm'
'Europe/Athens','Europe/London'
'Europe/Brussels','Europe/Istanbul'
'Europe/Lisbon','Europe/Rome'
'Asia/Shanghai',None
'Asia/Shanghai','Asia/Baku'
'Europe/Rome','Europe/Rome'
'Asia/Yekaterinburg','Asia/Yekaterinburg'
'Europe/Moscow','Europe/Istanbul'
'Europe/Moscow','Asia/Yekaterinburg'
'Europe/Warsaw','Atlantic/Canary'
'Europe/Warsaw','Asia/Dubai'
'Asia/Shanghai',None
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'+1','Atlantic/Canary'
'Asia/Shanghai','Asia/Shanghai'
'America/Toronto','America/Mexico_City'
'America/Toronto','America/Mexico_City'
'America/Toronto','America/Mexico_City'
'Europe/London','Atlantic/Canary'
'America/Sao_Paulo','America/Panama'
'Europe/Prague','Europe/Madrid'
'Asia/Kolkata','Asia/Kolkata'
'Asia/Yekaterinburg','Asia/Omsk'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Europe/Oslo','Atlantic/Canary'
'Asia/Tokyo','Asia/Ho_Chi_Minh'
'Asia/Tokyo','Asia/Ho_Chi_Minh'
'Asia/Tokyo','Asia/Ho_Chi_Minh'
'Asia/Tokyo','Asia/Ho_Chi_Minh'
'Asia/Tokyo','Asia/Ho_Chi_Minh'
'Asia/Tokyo','Asia/Hong_Kong'
'Australia/Melbourne','Asia/Makassar'
'Asia/Makassar','Australia/Brisbane'
'Asia/Makassar','Australia/Brisbane'
'Asia/Makassar','Australia/Brisbane'
'Asia/Shanghai','Asia/Shanghai'
'Europe/Bucharest','Europe/Chisinau'
'Europe/Bucharest','Europe/Chisinau'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Yekaterinburg','Asia/Yekaterinburg'
'Europe/Helsinki','Atlantic/Canary'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
None,'Asia/Shanghai'
None,'Asia/Shanghai'
None,'Asia/Shanghai'
None,'Asia/Shanghai'
None,'Asia/Shanghai'
'Indian/Mauritius','Indian/Mauritius'
'America/Monterrey','America/Panama'
'Asia/Ho_Chi_Minh','Asia/Seoul'
'Asia/Ho_Chi_Minh','Asia/Ho_Chi_Minh'
'Asia/Ho_Chi_Minh','Asia/Shanghai'
'Europe/Skopje','Europe/Berlin'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai','Asia/Shanghai'
'Asia/Shanghai',None
'Asia/Shanghai','Asia/Shanghai'
'Europe/Berlin','Asia/Bahrain'
'Asia/Singapore','Asia/Dubai'
'Asia/Singapore','Asia/Taipei'
'Asia/Singapore','Asia/Seoul'
'Asia/Singapore','Asia/Seoul'
'America/Lima','America/Chicago'
'America/Lima','America/Chicago'
'America/Lima','America/Mexico_City'
'America/Lima','America/Mexico_City'
'Asia/Dubai','Asia/Bangkok'
None,'Asia/Shanghai'
'Asia/Colombo','Europe/Moscow'
